item_name,item_code,kind_name,kind_code,rank,rank_code,unit,day1,dpr1,day2,dpr2,day3,dpr3,day4,dpr4,day5,dpr5,day6,dpr6,day7,dpr7,date
고춧가루,248,중국(1kg),1,상품,4,1kg,당일 (01/02),"12,870",1일전 (01/01),-,1주일전 (12/26),"12,893",2주일전 (12/19),"12,893",1개월전,"12,843",1년전,"12,271",일평년,"11,785",2023-01-02
미나리,252,미나리(100g),0,상품,4,100g,당일 (01/02),"1,603",1일전 (01/01),-,1주일전 (12/26),"1,490",2주일전 (12/19),"1,512",1개월전,"1,459",1년전,920,일평년,914,2023-01-02
깻잎,253,깻잎(100g),0,상품,4,100g,당일 (01/02),"2,900",1일전 (01/01),-,1주일전 (12/26),"2,407",2주일전 (12/19),"2,294",1개월전,"2,091",1년전,"2,493",일평년,"2,159",2023-01-02
피망,255,청(100g),0,상품,4,100g,당일 (01/02),"1,369",1일전 (01/01),-,1주일전 (12/26),"1,086",2주일전 (12/19),918,1개월전,887,1년전,"1,254",일평년,"1,029",2023-01-02
파프리카,256,파프리카(200g),0,상품,4,200g,당일 (01/02),"1,680",1일전 (01/01),-,1주일전 (12/26),"1,549",2주일전 (12/19),"1,472",1개월전,"1,293",1년전,"1,704",일평년,"1,401",2023-01-02
파프리카,256,파프리카(200g),0,중품,5,200g,당일 (01/02),"1,103",1일전 (01/01),-,1주일전 (12/26),"1,031",2주일전 (12/19),"1,016",1개월전,954,1년전,"1,109",일평년,"1,051",2023-01-02
멜론,257,멜론(1개),0,상품,4,1개,당일 (01/02),"14,772",1일전 (01/01),-,1주일전 (12/26),"14,885",2주일전 (12/19),"14,698",1개월전,"12,356",1년전,"13,628",일평년,"11,057",2023-01-02
깐마늘(국산),258,깐마늘(국산)(1kg),1,상품,4,1kg,당일 (01/02),"12,527",1일전 (01/01),-,1주일전 (12/26),"12,330",2주일전 (12/19),"12,208",1개월전,"11,722",1년전,"12,679",일평년,"9,511",2023-01-02
깐마늘(국산),258,깐마늘(국산)(1kg),1,중품,5,1kg,당일 (01/02),"9,550",1일전 (01/01),-,1주일전 (12/26),"10,021",2주일전 (12/19),"9,646",1개월전,"9,375",1년전,"8,985",일평년,"7,281",2023-01-02
방울토마토,422,방울토마토(1kg),1,상품,4,1kg,당일 (01/02),"10,650",1일전 (01/01),-,1주일전 (12/26),"10,650",2주일전 (12/19),"9,474",1개월전,"9,591",1년전,"11,638",일평년,"7,870",2023-01-02
방울토마토,422,대추방울토마토(1kg),2,상품,4,1kg,당일 (01/02),"7,682",1일전 (01/01),-,1주일전 (12/26),"7,079",2주일전 (12/19),"6,803",1개월전,"7,047",1년전,"9,442",일평년,"8,137",2023-01-02
배추,211,가을(1포기),3,상품,4,1포기,당일 (01/03),"3,125",1일전 (01/02),"3,088",1주일전 (12/27),"2,955",2주일전 (12/20),"2,850",1개월전,"2,849",1년전,"4,264",일평년,"3,473",2023-01-03
배추,211,가을(1포기),3,중품,5,1포기,당일 (01/03),"2,752",1일전 (01/02),"2,729",1주일전 (12/27),"2,521",2주일전 (12/20),"2,593",1개월전,"2,713",1년전,"3,728",일평년,"2,848",2023-01-03
양배추,212,양배추(1포기),0,상품,4,1포기,당일 (01/03),"3,839",1일전 (01/02),"3,848",1주일전 (12/27),"3,698",2주일전 (12/20),"3,492",1개월전,"3,614",1년전,"3,167",일평년,"3,652",2023-01-03
양배추,212,양배추(1포기),0,중품,5,1포기,당일 (01/03),"3,417",1일전 (01/02),"3,431",1주일전 (12/27),"3,239",2주일전 (12/20),"2,830",1개월전,"3,150",1년전,"2,887",일평년,"2,983",2023-01-03
시금치,213,시금치(100g),0,상품,4,100g,당일 (01/03),746,1일전 (01/02),743,1주일전 (12/27),678,2주일전 (12/20),637,1개월전,703,1년전,689,일평년,540,2023-01-03
상추,214,적(100g),1,상품,4,100g,당일 (01/03),"1,490",1일전 (01/02),"1,436",1주일전 (12/27),"1,228",2주일전 (12/20),"1,040",1개월전,824,1년전,"1,035",일평년,951,2023-01-03
상추,214,적(100g),1,중품,5,100g,당일 (01/03),"1,092",1일전 (01/02),"1,073",1주일전 (12/27),848,2주일전 (12/20),697,1개월전,520,1년전,727,일평년,671,2023-01-03
상추,214,청(100g),2,상품,4,100g,당일 (01/03),"1,572",1일전 (01/02),"1,549",1주일전 (12/27),"1,378",2주일전 (12/20),"1,187",1개월전,892,1년전,"1,124",일평년,951,2023-01-03
상추,214,청(100g),2,중품,5,100g,당일 (01/03),985,1일전 (01/02),958,1주일전 (12/27),798,2주일전 (12/20),650,1개월전,492,1년전,689,일평년,624,2023-01-03
